1.75. Республика Татарстан, Кайбицкий район, Старое Тябердино, Иске Тәрбит
(Татарская АССР, Апастовский район, Старо Тябердино, Иске Тәрбит)

1.76. Республика Татарстан, Кайбицкий район, Хозесаново, Хуҗа Хәсән// Хозесан
(Татарская АССР, Апастовский район, Хозесаново, Хуҗа Хәсән// Хозесан)

1.77. Республика Татарстан, Кайбицкий район, Чутеево, Чүти
(Татарская АССР, Апастовский район, Чутеево, Чүти)

1.126. Республика Татарстан, Спасский район, Измери, Әҗмәр
(Татарская АССР, Куйбышевский район, Измери, Әҗмђр)

1.127. Республика Татарстан, Камско-Устьинский район, Мордовский Каратай, Мордва-Каратай
(Татарская АССР, Камско-Устьинский район, Мордовский Каратай, Мордва-Каратай)

1.128. Республика Татарстан, Алькеевский район, Каргополь, Каргалы
(Татарская АССР, Алькеевский район, Каргополь, Каргалы)

1.147. Республика Татарстан, Алексеевский район, Мокрые Курнали, Юеш Көрнәле
(Татарская АССР, Алексеевский район, Мокрые Курнали, Юеш Көрнәле)

1.148. Республика Татарстан, Алексеевский район, Степная Шентала, Кыр Шынталасы
(Татарская АССР, Алексеевский район, Степная Шентала, Кыр Шынталасы)

1.149. Республика Татарстан, Чистопольский район, Исляйкино, Исләй
(Татарская АССР, Чистопольский район, Исляйкино, Исләй)

1.150. Республика Татарстан, Чистопольский район, Кутлушкино, Яуширмә
(Татарская АССР, Чистопольский район, Кутлушкино, Яуширмә)

1.151. Республика Татарстан, Чистопольский район, Тубулга, Тубылгы
(Татарская АССР, Чистопольский район, Тубулга, Тубылгы)

1.152. Республика Татарстан, Чистопольский район, Муслюмкино, Мөслим
(Татарская АССР, Чистопольский район, Муслюмкино, Мөслим)

1.153. Республика Татарстан, Алексеевский район, Средние Тиганы, Урта Тигәнәле
(Татарская АССР, Алексеевский район, Средние Тиганы, Урта Тигәнәле)

1.154. Республика Татарстан, Алексеевский район, Сухие Курнали, Коры Көрнәле
(Татарская АССР, Алексеевский район, Сухие Курнали, Коры Көрнәле)

1.155. Республика Татарстан, Чистопольский район, Акбулатово, Акбулат
(Татарская АССР, Чистопольский район, Акбулатово, Акбулат)

1.156. Республика Татарстан, Чистопольский район, Татарский Елтан, Татар Ялтаны
(Татарская АССР, Чистопольский район, Татарский Елтан, Татар Ялтаны)

1.157. Республика Татарстан, Алексеевский район, Верхняя Татарская Майна, Татар Майнасы
(Татарская АССР, Алексеевский район, Верхняя Татарская Майна, Татар Майнасы)

1.158. Республика Татарстан, Алексеевский район, Ст.Татар. Адам, Иске Адәм
(Татарская АССР, Алексеевский район, Ст.Татар. Адам, Иске Адәм)

1.165. Республика Татарстан, Чистопольский район, Ерыклинский, Зирекле
(Татарская АССР, Чистопольский район, Ерыклы, Зирекле)

1.166. Республика Татарстан, Новошешминский район, Шахмайкино, Шахмай
(Татарская АССР, Чистопольский район, Шахмайкино, Шахмай)

1.167. Республика Татарстан, Нижнекамский район, Тавель, Тау иле/Иске Тәтвәл
(Татарская АССР, Чистопольский район, Тавель, Тау иле/Иске Тәтвәл)

1.199. Республика Татарстан, Буинский район, Энтуганы, Янтуган
(Татарская АССР, Буинский район, Энтуганы, Янтуган)

1.200. Республика Татарстан, Дрожжановский район, Татарские Тюки, Татар. Төке// Төке
