Том,№,Субъект,,,Карта 69,Карта 70,Карта 71,Карта 72,Карта 73,Карта 74,Карта 75,Карта 76,Карта 77,Карта 78,Карта 79,Карта 80,Карта 81,Карта 82,Карта 83,Карта 84,Карта 85,Карта 87,Карта 88,Карта 89,Карта 90,Карта 91,Карта 92,Карта 93,Карта 94,Карта 95,Карта 96,Карта 97,Карта 98,Карта 99,Карта 100,Карта 101,Карта 102,Карта 103,Карта104,Карта 105,Карта 106,Карта 107,Карта 108,Карта 109,Карта 110,Карта 111,Карта 112,Карта 113,Карта 114,Карта 115,Карта 116,Карта 117,Карта 118
1,146,16,с,Кугарчино,1,1,1,1,1,1,1,1,2,8,2,1,7,6,3,1,1,2,1,7,8,1,1,8,8,1,2,1,1,1,2,1,3,2,1,1,1,1,1,8,7,1,1,2,2,1,7,1,1
1,107,16,с,Янга-Сала,1,1,9,1,1,1,1,1,6,8,1,1,7,2,6,1,1,2,1,7,8,1,7,1,1,1,2,1,1,1,2,1,3,2,1,1,6,1,1,2,2,1,1,1,1,2,2,1,1
1,110,16,с,Татарское Ходяшево,1,1,2,1,1,1,1,1,2,1,1,1,7,2,6,1,1,2,1,7,1,1,8,1,7,1,2,1,1,1,1,1,3,2,1,1,1,1,1,2,2,1,1,1,7,1,2,1,1
1,112,16,с,Кибячи,1,8,1,1,1,1,1,1,2,1,8,1,7,6,6,1,1,2,1,7,8,1,7,1,8,1,2,1,1,1,2,1,3,2,2,1,6,1,1,8,7,1,1,1,8,1,1,1,1
1,83,16,с,Большие Ачасыры,1,8,1,1,1,1,1,1,1,1,8,1,1,3,2,2,1,2,2,1,1,7,8,1,7,1,2,1,1,1,7,2,1,2,1,1,12,1,2,2,2,1,1,1,1,1,1,1,1
1,88,16,с,Бурундуки,1,1,13,2,1,1,1,1,1,1,8,1,7,6,2,2,2,2,2,1,1,8,7,1,7,1,2,1,1,1,7,2,1,2,1,1,12,1,2,1,7,1,1,1,1,1,1,1,1
1,86,16,с,Молвино,1,8,13,1,1,1,1,1,1,1,8,1,1,3,2,2,1,2,2,1,1,7,8,1,7,1,2,1,1,1,7,2,1,2,1,1,12,1,2,2,2,1,1,1,1,1,1,1,1
1,91,16,с,Сатламышево,1,1,13,1,1,1,1,1,1,2,8,1,1,6,2,2,2,2,7,1,1,8,7,2,7,1,2,1,1,1,1,2,1,2,1,1,12,1,2,1,7,1,1,1,1,1,1,1,1
1,85,16,с,Кугеево,1,8,1,2,1,1,1,1,1,8,8,2,1,3,2,2,1,2,2,1,1,7,8,2,8,1,2,1,1,1,7,2,1,2,1,1,12,1,2,1,7,1,1,1,1,1,1,1,1
1,87,16,с,Мамадыш-Акилово,1,8,13,2,1,1,1,1,1,1,8,1,1,2,2,2,1,2,2,1,1,7,7,2,7,1,2,1,1,1,7,2,1,2,1,1,12,1,2,2,2,1,1,1,1,1,1,1,1
1,89,16,,Большие Кушманы,1,1,13,1,1,1,1,1,1,2,8,1,1,6,2,2,2,2,7,1,1,8,7,2,7,1,2,1,1,1,7,2,1,2,1,1,12,1,2,1,7,1,1,1,1,1,1,1,1
1,84,16,с,Акзигитово,1,8,1,2,1,1,1,1,1,8,8,2,1,3,2,2,1,2,2,1,1,7,8,2,8,1,2,1,1,1,7,2,1,2,1,1,12,1,2,1,7,1,1,1,1,1,1,1,1
1,90,16,с,Старые Чечкабы,1,1,13,1,1,1,1,1,1,2,8,1,1,6,2,2,2,2,7,1,1,8,7,2,7,1,2,1,1,1,7,2,1,2,1,1,12,1,2,1,7,1,1,1,1,1,1,1,1
2,199,16,с,Старые Бугады,1,1,1,1,8,1,1,1,1,1,2,1,1,6,1,1,1,7,1,1,1,1,8,1,1,1,8,1,1,1,1,1,3,2,1,1,1,1,1,8,8,1,1,1,1,1,1,1,1
2,157,16,с,Тюгеевка,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,7,1,2,8,1,1,8,1,1,8,1,1,1,2,1,3,1,1,1,1,1,1,18,8,7,1,1,1,1,1,1,1
2,295,16,с,Урмышла,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,7,1,2,1,1,1,8,8,1,8,1,1,1,1,1,3,1,1,1,7,1,1,1,7,1,1,7,8,1,1,1,1
2,288,16,с,Ильтень-Бута,1,12,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,2,8,1,8,8,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,18,8,7,1,7,8,1,7,1,1
2,154,16,с,Чубуклы,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,7,1,2,8,1,1,8,8,1,8,1,8,1,2,1,3,1,1,1,7,1,1,18,8,1,1,1,1,1,1,1,1
2,155,16,с,Сарапала,1,1,7,1,1,1,1,1,1,8,2,1,2,2,6,1,1,7,1,2,8,1,1,8,8,1,8,1,1,1,2,1,3,1,1,1,2,1,1,18,8,7,1,1,1,1,1,1,1
2,291,16,с,Маметьево,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,7,1,2,1,1,1,8,7,1,8,1,1,1,1,1,3,2,1,1,1,1,1,18,8,1,1,7,8,1,1,1,1
2,158,16,с,Савалеево,1,1,1,1,1,1,1,1,1,8,1,1,2,2,6,1,1,7,1,2,1,1,8,8,8,1,8,1,1,1,2,1,3,1,1,1,2,1,1,18,8,7,1,1,1,1,1,1,1
2,156,16,с,Светлое Озеро,1,1,7,1,1,1,1,1,1,8,2,1,2,2,1,1,1,7,1,2,8,1,1,8,8,1,8,1,1,1,2,1,3,1,1,1,2,1,1,18,8,7,1,1,1,1,1,1,1
2,289,16,с,Калейкино,1,12,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,2,8,1,8,8,8,1,8,1,1,1,2,1,3,2,1,1,1,1,1,8,8,1,1,7,8,1,1,1,1
2,297,16,с,Васильевка,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,7,1,2,1,1,1,8,7,1,8,1,1,1,2,1,3,1,1,1,7,1,1,18,8,1,1,1,1,1,1,1,1
2,149,16,,Сармашбаш,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,2,1,3,1,1,1,2,1,1,1,7,1,1,7,8,2,7,1,1
2,296,16,с,Абдрахманово,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,1,7,1,2,1,1,8,1,1,1,8,1,8,1,1,1,3,1,1,1,7,1,1,18,7,1,1,7,8,1,1,1,1
2,143,16,с,Верхние Шипки,1,1,1,1,1,1,1,1,6,8,1,1,1,6,6,1,1,7,1,2,8,1,8,1,8,1,8,1,8,1,2,1,3,1,1,1,1,1,1,18,7,1,1,1,1,2,7,1,1
2,116,16,,Старое Утяганово,1,1,7,1,1,1,1,1,1,1,2,1,2,2,1,1,1,7,1,2,8,1,8,1,8,1,2,1,1,1,2,1,3,2,1,1,2,1,1,1,7,1,1,7,8,2,1,1,1
2,29,16,с,Девятерня,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,7,1,7,1,7,1,8,1,2,1,1,1,1,1,3,2,1,1,1,1,1,8,2,1,11,1,1,1,1,1,1
2,106,16,с,Исенбаево,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,2,2,7,1,7,1,8,1,2,1,2,1,1,1,3,2,1,1,1,1,1,8,8,1,11,1,1,2,1,1,1
2,111,16,с,Ямурзино,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,2,2,8,1,1,1,8,1,2,1,1,1,1,1,3,2,1,1,1,1,1,8,8,1,1,1,1,1,1,1,1
2,104,16,с,Крынды,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,2,1,7,1,7,1,8,1,2,1,1,1,1,1,3,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
2,30,16,с,Янга-Аул,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,1,1,7,1,7,1,8,1,2,1,2,1,1,1,3,2,1,1,1,1,1,2,2,1,11,1,1,1,1,1,1
2,22,16,с,Биктово,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,1,1,7,1,1,2,4,7,1,8,1,2,1,2,1,1,1,3,2,1,1,1,1,1,8,7,1,1,1,1,1,1,1,1
2,24,16,с,Табарле,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,1,1,7,1,7,1,8,1,2,1,2,1,1,1,3,2,1,1,1,1,1,8,7,1,11,1,1,2,1,1,1
