Том,№,Субъект,,,Карта 27,Карта 28,Карта 29,Карта 30,Карта 31,Карта 32,Карта 33,Карта 34,Карта 35,Карта 36,Карта 37,Карта 38,Карта 39,Карта 40,Карта 41,Карта 42,Карта 43,Карта 44,Карта 45,Карта 46,Карта 47,Карта 48,Карта 49,Карта 50,Карта 51,Карта 52,Карта 53,Карта 54,Карта 55,Карта 56,Карта 57,Карта 58,Карта 59,Карта 60,Карта 61,Карта 62,Карта 63,Карта 64,Карта 65,Карта 66,Карта 67,Карта 68
1,146,16,с,Кугарчино,2,1,1,1,1,1,2,3,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,7,3,1,7,1,1,2,1,1,1,1,1
1,107,16,с,Янга-Сала,2,1,1,2,1,1,2,2,1,11,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,8,7,1,1,7,3,1,6,1,1,6,3,2,1,1,1
1,110,16,с,Татарское Ходяшево,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,7,1,8,7,6,1,8,1,1,1,1,3,1,1,1
1,112,16,с,Кибячи,3,4,1,2,1,3,2,2,1,2,1,3,3,8,2,1,1,8,1,1,1,1,1,1,1,1,1,7,1,8,7,6,1,7,1,1,2,2,2,1,1,1
1,83,16,с,Большие Ачасыры,2,1,1,1,1,3,2,1,1,11,1,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,7,8,1,1,8,1,1,1,1,1,1,8,3,1,1,1
1,88,16,с,Бурундуки,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,86,16,с,Молвино,2,1,1,1,1,1,2,1,1,11,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,8,6,1,1,1,1,1,1,1,1,1,1
1,91,16,с,Сатламышево,2,1,1,1,1,1,2,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
1,85,16,с,Кугеево,2,1,1,1,1,1,2,6,1,11,1,1,1,1,7,1,1,7,1,1,1,1,1,1,1,8,7,8,1,7,8,6,1,1,1,1,1,3,3,1,1,2
1,87,16,с,Мамадыш-Акилово,2,1,1,1,1,1,2,1,1,11,1,1,1,1,7,1,1,1,1,1,1,1,1,8,1,1,7,8,1,1,8,6,1,1,1,1,1,1,1,1,1,2
